Frequency_Hz,Zre_data_Ohm,Zim_data_Ohm,Zre_fit_Ohm,Zim_fit_Ohm,Re_residual_Ohm,Im_residual_Ohm
6.30955123901367,11.4595845648446,-21.7136370368879,12.673561164890367,-22.29321062123377,1.2139766000457666,-0.5795735843458694
5.62339448928833,12.328708908792,-23.5192635845755,13.460952143422421,-24.02892342635661,1.1322432346304208,-0.509659841781108
5.01185035705566,13.252029250594,-25.497844234006,14.259396853163473,-25.939941920067476,1.0073676025694738,-0.4420976860614765
4.46682405471802,14.2396975346061,-27.6218580720737,15.06894826659407,-28.05217898531977,0.8292507319879707,-0.4303209132460708
3.98106288909912,15.2566556587243,-29.9472838609243,15.890989360370362,-30.394416007799492,0.634333701646062,-0.447132146875191
3.54812073707581,16.2886749527994,-32.4595652127786,16.72819115244087,-32.998165548732764,0.4395161996414707,-0.5386003359541647
3.16226768493652,17.3713555230177,-35.1958765314335,17.58449159921163,-35.89770848890117,0.21313607619392982,-0.7018319574676752
2.81837058067322,18.4806888578156,-38.2192939890932,18.465143956970895,-39.130566121252315,-0.015544900844705722,-0.9112721321591124
2.51187658309937,19.5964917800377,-41.6044567599391,19.37654329788173,-42.73736852979185,-0.21994848215596718,-1.132911769852754
2.23871541023254,20.7137313714389,-45.3201689591997,20.326248811091624,-46.76248372660599,-0.38748256034727646,-1.4423147674062946
1.99525511264801,21.8730756754359,-49.4711028618653,21.32291976282647,-51.25443054252696,-0.55015591260943,-1.7833276806616638
1.77827250957489,23.0801407657858,-54.1261185562448,22.376199701619818,-56.26601307605749,-0.7039410641659813,-2.1398945198126924
1.58488547801971,24.261568094083,-59.32646612597,23.496797045633937,-61.855302243912114,-0.7647710484490631,-2.528836117942113
1.41253340244293,25.5518961380156,-65.1743196687414,24.696405312497312,-68.0858331190808,-0.855490825518288,-2.911513450339399
1.25891971588135,26.8959941750456,-71.7955929687855,25.98790037379757,-75.02812904370381,-0.9080938012480324,-3.2325360749183147
1.12201523780823,28.2647516393014,-79.1526720547111,27.385158997023687,-82.75918056261204,-0.8795926422777143,-3.6065085079009407
0.999995112419128,29.7746653053214,-87.4359495689631,28.90345929132604,-91.36496093734374,-0.8712060139953586,-3.9290113683806425
0.891247987747192,31.3706111745004,-96.7504995326479,30.559260332642456,-100.93949192561455,-0.8113508418579443,-4.188992392966654
0.794324278831482,33.1339865457801,-107.177753191297,32.37072491416357,-111.58802911155303,-0.7632616316165297,-4.410275920256026
0.707943558692932,35.0984320965031,-118.919104700386,34.357492202575415,-123.42591642376568,-0.7409398939276883,-4.506811723379684
0.63095486164093,37.1316545861338,-132.090614885388,36.54129161907985,-136.58231388226957,-0.5903629670539488,-4.491698996881581
0.562339127063751,39.6030988720238,-146.849092060543,38.94578991131516,-151.19938213705328,-0.6573089607086402,-4.3502900765102765
0.501185595989227,42.3758536328599,-164.261903339488,41.59706570876544,-167.4351816949762,-0.7787879240944591,-3.1732783554882076
0.446681261062622,45.6664081684167,-184.332561194663,44.52390752734115,-185.46553784323996,-1.14250064107555,-1.132976648576971
0.39810574054718,49.2128447668672,-205.811397703432,47.757798569946644,-205.4839533983274,-1.4550461969205557,0.3274443051045921
0.354811638593674,53.2313958537355,-230.38829621728,51.33384198423514,-227.70732538980604,-1.8975538695003564,2.680970827473942
0.316226333379745,58.0146059048829,-258.969833323823,55.29047174722473,-252.3741604934242,-2.7241341576581704,6.595672830398826
0.299999684095383,60.7968720054296,-273.44002872889,57.23922217456056,-264.5467541239473,-3.557649830869039,8.89327460494269
